top - 10:16:46 up 1 day, 16:16,  0 users,  load average: 1.55, 1.13, 1.04
Tasks: 221 total,   1 running, 220 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.7%us,  0.8%sy,  0.0%ni, 97.4%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    316656k total,   190944k used,   125712k free,    20784k buffers
Swap:        0k total,        0k used,        0k free,    81456k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 1197 root      20   0  553m  42m  15m S  0.0 13.7   2:15.49 CANH_RUN_THREAD    
  904 root      20   0  3176  588  504 S  0.0  0.2   0:00.02 tee                
  905 root      20   0  3500  828  724 S  0.0  0.3   0:00.02 logger             
 1013 root      20   0  3240  528  436 S  0.0  0.2   0:00.00 zcip               
 1019 root      20   0  2600  652  444 S  0.0  0.2   0:00.25 mocad              
 1020 root      20   0  2600  652  444 S  0.0  0.2   0:00.00 mocad              
 1070 root      20   0  3240  408  324 S  0.0  0.1   0:00.15 udhcpc             
13412 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_2          
13413 root      15  -5     0    0    0 S  0.0  0.0   0:00.35 usb-storage        
13444 root      18  -2  3240  756  640 S  0.0  0.2   0:00.08 sh                 
13491 root      18  -2  3240  748  652 S  0.0  0.2   0:00.03 sh                 

